Produto,Quantidade,Preço
Camiseta,5,30.00
Calça,2,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,1,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,1,50.00
Camiseta,5,30.00
Calça,2,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,4,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,4,50.00
Camiseta,5,30.00
Calça,2,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,1,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,1,50.00
Camiseta,5,30.00
Calça,2,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,4,50.00
Tênis,1,150.00
Camiseta,3,30.00
Calça,4,50.00
